chr	start	end	name	annotation	description	region	distance	subregion	insideDistance	exonnumber	nexons	UTR	strand	geneL	codingL	Geneid	subjectHits
chr1	903932	904084			promoter	promoter	702				5		+	13369		ENSG00000272438.2	290413
chr1	939258	939382			overlaps exon upstream	inside	8946	overlaps exon upstream	0	5	12	inside transcription region	+	14263		ENSG00000187634.13	154079
chr1	967169	967619			inside intron	inside	667	inside intron	-365	2	15	inside transcription region	+	8506		ENSG00000187583.11	153931
chr1	976414	976533			overlaps exon downstream	inside	5584	overlaps exon downstream	0	3	4	inside transcription region	-	5996		ENSG00000187642.10	154088
chr1	995933	996159			overlaps 3'	overlaps 3'	1892	overlaps exon downstream	0	1	1	inside transcription region	-	2085		ENSG00000272512.1	290541
chr1	998311	998527			promoter	promoter	260				1		-	2085		ENSG00000272512.1	290541
chr1	1013950	1015186			overlaps 3'	overlaps 3'	453	covers exon(s)	0	2	2	overlaps 3'UTR	+	1043		ENSG00000187608.10	154012
chr1	1023679	1025297			inside intron	inside	3556	inside intron	-1216	2	39	inside transcription region	+	35995		ENSG00000188157.16	154792
chr1	1034304	1034668			inside exon	inside	198	inside exon	0	1	35	overlaps 5' UTR	+	22013		ENSG00000188157.16	154794
chr1	1040020	1040184			inside intron	inside	5153	inside intron	480	2	3	inside transcription region	+	6530		ENSG00000188157.16	154795
chr1	1068149	1068284			inside intron	inside	1020	inside intron	880	1	3	inside transcription region	-	2908		ENSG00000304119.1	368862
chr1	1140761	1141016			overlaps exon upstream	inside	3744	overlaps exon upstream	0	2	3	inside transcription region	+	7039		ENSG00000223823.1	182291
chr1	1173440	1174689			inside exon	inside	4866	inside exon	0	2	2	inside transcription region	-	6499		ENSG00000205231.1	170118
chr1	1182977	1183227			overlaps exon downstream	inside	2493	overlaps exon downstream	0	4	5	inside transcription region	+	3443		ENSG00000162571.14	111448
chr1	1185015	1185540			inside exon	inside	5318	inside exon	0	9	9	overlaps 3'UTR	+	6167		ENSG00000162571.14	111447
chr1	1212849	1212983			inside intron	inside	515	inside intron	8	2	4	inside transcription region	-	1479		ENSG00000186827.12	153039
chr1	1228883	1229157			overlaps exon upstream	inside	2811	overlaps exon upstream	0	2	3	inside transcription region	-	4696		ENSG00000078808.20	17721
chr1	1240187	1240996			close to 3'	close to 3'	2467				3		-	1017		ENSG00000184163.3	148430
chr1	1244015	1244521			overlaps two exons	inside	203	overlaps two exons	0	2	2	inside transcription region	-	743		ENSG00000184163.3	148434
chr1	1250386	1250493			inside exon	inside	841	inside exon	0	1	1	inside transcription region	-	1557		ENSG00000260179.1	272598
chr1	1274834	1275250			overlaps exon upstream	inside	801	overlaps exon upstream	0	2	3	inside transcription region	+	3465		ENSG00000230415.2	203679
chr1	1286661	1286840			overlaps exon upstream	inside	4552	overlaps exon upstream	0	5	15	inside transcription region	+	9915		ENSG00000162572.21	111456
chr1	1290344	1290443			overlaps exon downstream	inside	3235	overlaps exon downstream	0	4	7	inside transcription region	+	3834		ENSG00000162572.21	111458
chr1	1291681	1292067			overlaps 3'	overlaps 3'	10457	overlaps exon downstream	0	16	16	3'UTR	+	10805		ENSG00000162572.21	111454
chr1	1296782	1297070			inside intron	inside	2547	inside intron	-148	6	6	inside transcription region	-	3151		ENSG00000131584.19	69650
chr1	1299190	1299464			inside exon	inside	10145	inside exon	0	9	9	inside transcription region	-	10865		ENSG00000131584.19	69652
chr1	1303236	1304156			overlaps exon upstream	inside	3662	overlaps exon upstream	0	4	4	inside transcription region	-	4608		ENSG00000131584.19	69656
chr1	1351537	1351708			inside intron	inside	2699	inside intron	-2522	1	2	inside transcription region	+	13508		ENSG00000304860.1	371957
chr1	1352327	1352541			inside intron	inside	3489	inside intron	-3312	1	2	inside transcription region	+	13508		ENSG00000304860.1	371957
chr1	1354719	1355005			inside intron	inside	5881	inside intron	-5704	1	2	inside transcription region	+	13508		ENSG00000304860.1	371957
chr1	1356874	1357302			inside intron	inside	8036	inside intron	4729	2	2	inside transcription region	+	13508		ENSG00000304860.1	371957
chr1	1419576	1421560			covers exon(s)	inside	209	covers exon(s)	0	1	3	overlaps 5' UTR	-	3349		ENSG00000235098.9	218776
chr1	1425528	1426355			overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	2	overlaps 5' UTR	+	4384		ENSG00000205116.4	169986
chr1	1428247	1428338			inside exon	inside	2376	inside exon	0	2	2	3'UTR	+	4384		ENSG00000205116.4	169986
chr1	1431645	1432049			inside intron	inside	3513	inside intron	-690	3	3	inside transcription region	-	4952		ENSG00000225285.2	186594
chr1	1433177	1433475			inside intron	inside	2087	inside intron	702	2	3	inside transcription region	-	4952		ENSG00000225285.2	186594
chr1	1434848	1435285			overlaps exon downstream	inside	277	overlaps exon downstream	0	1	3	inside transcription region	-	4952		ENSG00000225285.2	186594
chr1	1436414	1437200			overlaps exon upstream	inside	724	overlaps exon upstream	0	2	3	inside transcription region	+	7192		ENSG00000179403.12	142450
chr1	1505666	1505773			overlaps exon downstream	inside	411	overlaps exon downstream	0	1	2	inside transcription region	+	4212		ENSG00000290916.2	326943
chr1	1510907	1511167			promoter	promoter	995				16		+	22523		ENSG00000197785.14	161284
chr1	1630437	1630524			inside exon	inside	964	inside exon	0	2	2	inside transcription region	+	1132		ENSG00000197530.13	160631
chr1	1632558	1632637			inside intron	inside	379	inside intron	145	2	7	inside transcription region	+	2475		ENSG00000189409.14	156677
chr1	1633513	1633871			overlaps exon upstream	inside	310	overlaps exon upstream	0	2	5	inside transcription region	+	1365		ENSG00000189409.14	156680
chr1	1708406	1708589			covers exon(s)	inside	29099	covers exon(s)	0	11	20	inside transcription region	-	34952		ENSG00000268575.1	285905
chr1	1722447	1723483			covers exon(s)	inside	14205	covers exon(s)	0	3	20	inside transcription region	-	34952		ENSG00000268575.1	285905
chr1	1725986	1726467			inside intron	inside	1371	inside intron	-1222	1	2	inside transcription region	+	7289		ENSG00000293188.2	338304
