chr	start	end	name	annotation	description	region	distance	subregion	insideDistance	exonnumber	nexons	UTR	strand	geneL	codingL	Geneid	subjectHits
chr1	870224	870562			overlaps exon upstream	inside	6324	overlaps exon upstream	0	3	5	inside transcription region	-	8640		ENSG00000230368.3	203546
chr1	903975	904607			promoter	promoter	179				5		+	13369		ENSG00000272438.2	290413
chr1	909800	910089			inside intron	inside	503	inside intron	396	1	2	inside transcription region	-	2519		ENSG00000298603.1	354397
chr1	910555	910706			inside intron	inside	5690	inside intron	-2342	2	5	inside transcription region	+	11997		ENSG00000272438.2	290454
chr1	976445	976653			covers exon(s)	inside	5464	covers exon(s)	0	3	4	inside transcription region	-	5996		ENSG00000187642.10	154088
chr1	1064349	1064773			inside intron	inside	1294	inside intron	1056	2	2	inside transcription region	+	3386		ENSG00000291156.2	333856
chr1	1077056	1077271			upstream	upstream	2750				2		-	3339		ENSG00000237330.3	225581
chr1	1140857	1141078			overlaps exon downstream	inside	3840	overlaps exon downstream	0	2	3	inside transcription region	+	7039		ENSG00000223823.1	182291
chr1	1173440	1174603			inside exon	inside	4952	inside exon	0	2	2	inside transcription region	-	6499		ENSG00000205231.1	170118
chr1	1274877	1275073			overlaps exon upstream	inside	844	overlaps exon upstream	0	2	3	inside transcription region	+	3465		ENSG00000230415.2	203679
chr1	1290144	1290443			covers exon(s)	inside	3035	covers exon(s)	0	5	7	inside transcription region	+	3834		ENSG00000162572.21	111458
chr1	1293830	1294048			covers exon(s)	inside	9212	covers exon(s)	0	20	21	inside transcription region	-	9696		ENSG00000131584.19	69647
chr1	1351411	1351708			inside intron	inside	2573	inside intron	-2396	1	2	inside transcription region	+	13508		ENSG00000304860.1	371957
chr1	1352296	1352541			inside intron	inside	3458	inside intron	-3281	1	2	inside transcription region	+	13508		ENSG00000304860.1	371957
chr1	1355057	1356455			inside intron	inside	6219	inside intron	5576	2	2	inside transcription region	+	13508		ENSG00000304860.1	371957
chr1	1415868	1416031			downstream	downstream	5738				3		-	3349		ENSG00000235098.9	218776
chr1	1419644	1420168			inside intron	inside	1092	inside intron	-94	2	2	inside transcription region	-	2122		ENSG00000235098.9	218778
chr1	1420395	1421062			overlaps exon downstream	inside	198	overlaps exon downstream	0	1	2	overlaps 5' UTR	-	2122		ENSG00000235098.9	218778
chr1	1427092	1427329			inside intron	inside	1221	inside intron	224	2	2	inside transcription region	+	4384		ENSG00000205116.4	169986
chr1	1505675	1505773			overlaps exon downstream	inside	420	overlaps exon downstream	0	1	2	inside transcription region	+	4212		ENSG00000290916.2	326943
chr1	1510863	1511239			promoter	promoter	923				16		+	22523		ENSG00000197785.14	161284
chr1	1575811	1576021			inside intron	inside	36247	inside intron	16083	2	2	inside transcription region	+	52813		ENSG00000299413.1	356486
chr1	1633927	1634054			overlaps exon upstream	inside	248	overlaps exon upstream	0	2	4	inside transcription region	+	925		ENSG00000189409.14	156681
chr1	1659790	1659843			inside intron	inside	486	inside intron	-337	1	3	inside transcription region	+	3298		ENSG00000272004.2	289538
chr1	1712078	1712183			inside intron	inside	25505	inside intron	80	7	20	inside transcription region	-	34952		ENSG00000268575.1	285905
chr1	1723274	1723483			inside intron	inside	14205	inside intron	-442	3	20	inside transcription region	-	34952		ENSG00000268575.1	285905
chr1	1726018	1726467			inside intron	inside	1403	inside intron	-1254	1	2	inside transcription region	+	7289		ENSG00000293188.2	338304
chr1	1731852	1732342			inside intron	inside	7390	inside intron	3474	2	2	inside transcription region	+	12057		ENSG00000293188.2	338303
chr1	1747222	1747531			promoter	promoter	1230				6		-	13750		ENSG00000290854.2	326121
chr1	2104305	2104607			overlaps exon upstream	inside	310	overlaps exon upstream	0	2	2	inside transcription region	-	1566		ENSG00000308181.1	380550
chr1	2124263	2124578			inside intron	inside	8058	inside intron	-7952	1	6	5' UTR	+	34692		ENSG00000067606.17	12307
chr1	2132271	2132612			inside intron	inside	16066	inside intron	2649	2	6	5' UTR	+	34692		ENSG00000067606.17	12307
chr1	2189109	2190663			covers exon(s)	inside	4088	covers exon(s)	0	3	4	inside transcription region	-	9576		ENSG00000162585.17	111473
chr1	2214084	2214226			inside intron	inside	1561	inside intron	-1439	1	2	inside transcription region	+	8215		ENSG00000234396.3	216357
chr1	2671793	2671918			inside intron	inside	117747	inside intron	-26229	5	7	inside transcription region	-	148297		ENSG00000215912.13	178396
chr1	2700044	2700420			inside intron	inside	89245	inside intron	-54480	5	7	inside transcription region	-	148297		ENSG00000215912.13	178396
chr1	2750910	2751749			inside intron	inside	37916	inside intron	31859	4	7	inside transcription region	-	148297		ENSG00000215912.13	178396
chr1	2947323	2947711			downstream	downstream	20939				4		-	8295		ENSG00000284745.2	303942
chr1	2949413	2949577			downstream	downstream	19073				4		-	8295		ENSG00000284745.2	303942
chr1	3162138	3162540			inside intron	inside	4612	inside intron	-257	2	3	inside transcription region	-	5876		ENSG00000306427.1	376035
chr1	3238495	3238637			inside intron	inside	564	inside intron	-399	1	16	inside transcription region	+	195994		ENSG00000142611.17	88216
chr1	3713072	3713487			covers exon(s)	inside	811	covers exon(s)	0	2	2	inside transcription region	-	2098		ENSG00000235131.1	218949
chr1	3834820	3835069			overlaps exon downstream	inside	22129	overlaps exon downstream	0	11	12	inside transcription region	-	23527		ENSG00000116198.14	51716
chr1	3858289	3858804			overlaps exon upstream	inside	689	overlaps exon upstream	0	2	7	inside transcription region	+	27829		ENSG00000169598.17	127487
chr1	3892842	3893089			overlaps exon upstream	inside	7164	overlaps exon upstream	0	2	3	inside transcription region	-	9434		ENSG00000198912.12	164403
chr1	4027417	4027917			inside intron	inside	8019	inside intron	1089	2	3	inside transcription region	+	73661		ENSG00000284668.3	303710
chr1	4421456	4422044			inside intron	inside	5145	inside intron	831	2	4	inside transcription region	+	8378		ENSG00000235054.5	218674
chr1	4600033	4600543			upstream	upstream	3147				2		+	5093		ENSG00000300565.1	359597
chr1	4857039	4858581			downstream	downstream	202430				6		+	137925		ENSG00000196581.11	158186
chr1	5242622	5243170			upstream	upstream	17364				2		-	4712		ENSG00000302269.1	363847
chr1	5246878	5247872			upstream	upstream	21620				2		-	4712		ENSG00000302269.1	363847
chr1	5288776	5291923			downstream	downstream	3269				3		-	2707		ENSG00000306645.1	376693
chr1	6074262	6074403			inside intron	inside	847	inside intron	-491	1	4	inside transcription region	+	14096		ENSG00000069424.16	13121
chr1	6150249	6150954			inside intron	inside	29069	inside intron	77	7	34	inside transcription region	-	74932		ENSG00000116254.18	51775
chr1	6276454	6276601			inside intron	inside	116760	inside intron	4500	9	10	3'UTR	-	129088		ENSG00000097021.21	25253
chr1	6455931	6456147			inside intron	inside	4214	inside intron	1036	2	4	inside transcription region	+	8688		ENSG00000187017.18	153303
chr1	6738832	6739618			downstream	downstream	14206				3		+	5386		ENSG00000228750.8	198966
chr1	7706144	7706487			inside intron	inside	1257	inside intron	-1245	1	14	5' UTR	+	62798		ENSG00000171735.21	130973
chr1	7784840	7785043			overlaps exon downstream	inside	137	overlaps exon downstream	0	1	21	overlaps 5' UTR	+	60474		ENSG00000049246.15	7974
chr1	7827139	7827193			inside exon	inside	149	inside exon	0	1	3	inside transcription region	-	17100		ENSG00000236266.2	222354
chr1	7886770	7887019			inside intron	inside	26238	inside intron	26161	1	2	inside transcription region	-	56946		ENSG00000302605.1	364678
chr1	8424634	8424999			inside intron	inside	101028	inside intron	-1826	7	7	inside transcription region	-	103237		ENSG00000142599.20	88183
chr1	8510391	8511177			inside intron	inside	14862	inside intron	-12861	2	3	inside transcription region	-	30888		ENSG00000142599.20	88187
chr1	8879665	8879806			inside exon	inside	373	inside exon	0	2	2	inside transcription region	+	607		ENSG00000230679.2	204727
chr1	9039403	9039907			overlaps exon downstream	inside	29728	overlaps exon downstream	0	7	12	inside transcription region	-	34529		ENSG00000142583.18	88160
chr1	9248084	9248525			inside intron	inside	8240	inside intron	-1000	3	5	inside transcription region	+	28054		ENSG00000049239.13	7965
chr1	9536906	9537176			promoter	promoter	2289				7		+	45708		ENSG00000171612.7	130740
chr1	10808714	10809518			upstream	upstream	12064				16		-	149437		ENSG00000130940.15	68621
chr1	11011854	11011901			promoter	promoter	443				5		+	8145		ENSG00000120948.19	56866
chr1	11476972	11478247			promoter	promoter	908				21		+	58396		ENSG00000204624.8	168981
chr1	11896750	11897311			upstream	upstream	10629				2		+	5383		ENSG00000285646.3	305454
chr1	11925562	11925718			inside exon	inside	710	inside exon	0	1	2	inside transcription region	-	4253		ENSG00000116685.17	52191
chr1	13449113	13449487			inside intron	inside	9023	inside intron	-7862	2	3	inside transcription region	+	23763		ENSG00000295011.1	345184
chr1	13750927	13752102			inside intron	inside	1491	inside intron	-1439	1	4	5' UTR	+	73983		ENSG00000116731.23	52307
chr1	14125631	14127030			inside intron	inside	232839	inside intron	53404	2	17	inside transcription region	+	1225251		ENSG00000189337.17	156610
chr1	14600025	14601355			inside intron	inside	1308	inside intron	-801	2	9	inside transcription region	+	467080		ENSG00000189337.17	156613
chr1	14731661	14732360			inside intron	inside	132944	inside intron	-132437	2	9	inside transcription region	+	467080		ENSG00000189337.17	156613
chr1	15196179	15196411			inside intron	inside	42411	inside intron	14078	2	4	5' UTR	+	66625		ENSG00000171729.14	130942
chr1	15253711	15255526			inside intron	inside	1926	inside intron	-1833	1	30	inside transcription region	+	145744		ENSG00000142621.21	88229
chr1	15833188	15833485			inside intron	inside	1377	inside intron	1250	1	2	inside transcription region	-	15761		ENSG00000179743.5	142800
chr1	16013630	16013731			downstream	downstream	5863				4		-	5566		ENSG00000173641.18	134399
chr1	16049189	16049513			overlaps exon downstream	inside	189	overlaps exon downstream	0	2	14	inside transcription region	+	8252		ENSG00000184908.20	149468
chr1	16064371	16064916			inside intron	inside	8716	inside intron	-1836	2	6	inside transcription region	-	15353		ENSG00000185519.9	150747
chr1	16106499	16108340			downstream	downstream	47729				17		-	31732		ENSG00000142627.13	88253
chr1	16350419	16350661			inside intron	inside	1819	inside intron	1593	1	10	5' UTR	-	105640		ENSG00000037637.11	6593
chr1	16648370	16648426			inside intron	inside	18753	inside intron	-5224	2	4	inside transcription region	-	32139		ENSG00000291072.2	330180
chr1	16677941	16678769			inside intron	inside	1841	inside intron	911	2	4	inside transcription region	-	45575		ENSG00000291072.2	330179
chr1	16680528	16680679			overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	3	inside transcription region	-	45587		ENSG00000291072.2	330177
chr1	16692155	16692776			inside intron	inside	4515	inside intron	-860	4	4	inside transcription region	-	6839		ENSG00000290849.2	326105
chr1	16696492	16696836			overlaps two exons	inside	455	overlaps two exons	0	3	4	inside transcription region	-	6839		ENSG00000290849.2	326105
chr1	16708476	16708675			inside intron	inside	1944	inside intron	-397	2	3	inside transcription region	-	3695		ENSG00000293526.1	341146
chr1	16758962	16759329			inside exon	inside	432	inside exon	0	1	6	inside transcription region	-	2641		ENSG00000290851.2	326110
chr1	16859526	16860317			inside intron	inside	119253	inside intron	69968	2	9	inside transcription region	+	201161		ENSG00000058453.17	9597
chr1	16861860	16861959			inside intron	inside	2200	inside intron	-1283	2	3	inside transcription region	+	48235		ENSG00000302843.1	365258
chr1	16888682	16889016			inside intron	inside	29022	inside intron	18627	3	3	inside transcription region	+	48235		ENSG00000302843.1	365258
chr1	16889598	16890019			inside intron	inside	29938	inside intron	17624	3	3	inside transcription region	+	48235		ENSG00000302843.1	365258
chr1	16967291	16967476			inside intron	inside	1263	inside intron	-719	2	5	inside transcription region	+	4714		ENSG00000058453.17	9608
chr1	17233542	17234014			inside intron	inside	28414	inside intron	-571	11	16	inside transcription region	+	40879		ENSG00000142623.11	88249
chr1	18575281	18576780			upstream	upstream	18634				1		+	222		ENSG00000225478.2	187183
chr1	18703197	18703405			overlaps exon downstream	inside	71673	overlaps exon downstream	0	7	8	inside transcription region	+	104578		ENSG00000009709.13	2974
chr1	18761423	18762308			downstream	downstream	130577				10		+	118020		ENSG00000009709.13	2972
chr1	18783847	18785106			downstream	downstream	153001				10		+	118020		ENSG00000009709.13	2972
chr1	18827580	18828242			downstream	downstream	31418				6		-	20061		ENSG00000179002.6	141988
chr1	18846331	18848811			inside intron	inside	10849	inside intron	529	4	6	inside transcription region	-	20061		ENSG00000179002.6	141988
chr1	19273884	19274447			overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	7	overlaps 5' UTR	-	7091		ENSG00000211454.16	173079
chr1	19288299	19288721			overlaps exon downstream	inside	49	overlaps exon downstream	0	1	7	overlaps 5' UTR	-	6197		ENSG00000162482.5	111346
chr1	19289116	19289448			promoter	promoter	346				7		-	6197		ENSG00000162482.5	111346
chr1	19439545	19439850			inside intron	inside	45689	inside intron	45585	1	5	inside transcription region	-	128884		ENSG00000077549.19	17107
chr1	19441126	19441729			inside intron	inside	43810	inside intron	43706	1	5	inside transcription region	-	128884		ENSG00000077549.19	17107
chr1	20481180	20483609			covers	covers	0	covers exon(s)			2		+	2303		ENSG00000296909.1	350301
chr1	20617718	20618862			overlaps exon upstream	inside	28621	overlaps exon upstream	0	4	4	overlaps 3'UTR	+	29806		ENSG00000158825.6	106991
chr1	21360951	21361562			downstream	downstream	14642				2		+	1585		ENSG00000296859.1	350195
chr1	21437342	21437887			overlaps exon downstream	inside	86	overlaps exon downstream	0	1	2	inside transcription region	+	2560		ENSG00000295832.1	347322
chr1	22011556	22012964			inside intron	inside	6251	inside intron	-1698	2	4	inside transcription region	+	25312		ENSG00000285959.1	306477
chr1	22428505	22429110			overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	9	5' UTR	+	82925		ENSG00000184677.18	149219
chr1	22593281	22593647			covers exon(s)	inside	29792	covers exon(s)	0	7	17	inside transcription region	+	40106		ENSG00000070886.12	13810
chr1	22952946	22953947			overlaps 3'	overlaps 3'	18919	overlaps exon downstream	0	8	8	overlaps 3'UTR	-	19823		ENSG00000215906.9	178384
chr1	23018526	23018752			inside intron	inside	348	inside intron	214	1	3	inside transcription region	-	8266		ENSG00000227868.7	195165
chr1	23169156	23169585			inside intron	inside	8567	inside intron	-131	2	5	inside transcription region	-	94122		ENSG00000169641.16	127560
