chr	start	end	name	annotation	description	region	distance	subregion	insideDistance	exonnumber	nexons	UTR	strand	geneL	codingL	Geneid	subjectHits
chr1	51813	51978			overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	4	inside transcription region	+	11635		ENSG00000290826.2	325781
chr1	61901	62156			inside intron	inside	4303	inside intron	759	3	3	inside transcription region	+	6518		ENSG00000290826.2	325782
chr1	87256	88388			downstream	downstream	32544				4		-	31637		ENSG00000241860.8	232452
chr1	604132	604296			inside intron	inside	26912	inside intron	-2554	4	5	inside transcription region	-	36649		ENSG00000293331.2	339182
chr1	629091	634921			inside intron	inside	85279	inside intron	-21034	2	3	inside transcription region	-	118764		ENSG00000225880.7	188383
chr1	779651	779741			inside intron	inside	633	inside intron	-558	1	3	inside transcription region	+	8655		ENSG00000237491.11	226112
chr1	870193	870562			overlaps exon upstream	inside	6324	overlaps exon upstream	0	3	5	inside transcription region	-	8640		ENSG00000230368.3	203546
chr1	903969	904611			promoter	promoter	175				5		+	13369		ENSG00000272438.2	290413
chr1	909800	909996			inside intron	inside	596	inside intron	489	1	2	inside transcription region	-	2519		ENSG00000298603.1	354397
chr1	976365	976653			covers exon(s)	inside	5464	covers exon(s)	0	3	4	inside transcription region	-	5996		ENSG00000187642.10	154088
chr1	1064413	1064784			overlaps exon downstream	inside	4	overlaps exon downstream	0	1	2	inside transcription region	+	2048		ENSG00000291156.2	333858
chr1	1077056	1077266			upstream	upstream	2750				2		-	3339		ENSG00000237330.3	225581
chr1	1140761	1141078			covers exon(s)	inside	3744	covers exon(s)	0	2	3	inside transcription region	+	7039		ENSG00000223823.1	182291
chr1	1173440	1174470			inside exon	inside	5085	inside exon	0	2	2	inside transcription region	-	6499		ENSG00000205231.1	170118
chr1	1240556	1240918			downstream	downstream	2545				3		-	1017		ENSG00000184163.3	148430
chr1	1244512	1244651			inside exon	inside	73	inside exon	0	1	2	inside transcription region	-	743		ENSG00000184163.3	148434
chr1	1250293	1250347			inside exon	inside	987	inside exon	0	1	1	inside transcription region	-	1557		ENSG00000260179.1	272598
chr1	1274877	1275119			overlaps exon upstream	inside	844	overlaps exon upstream	0	2	3	inside transcription region	+	3465		ENSG00000230415.2	203679
chr1	1290162	1290373			overlaps exon upstream	inside	3053	overlaps exon upstream	0	4	7	inside transcription region	+	3834		ENSG00000162572.21	111458
chr1	1293903	1294005			overlaps exon upstream	inside	9255	overlaps exon upstream	0	20	21	inside transcription region	-	9696		ENSG00000131584.19	69647
chr1	1351411	1351687			inside intron	inside	2573	inside intron	-2396	1	2	inside transcription region	+	13508		ENSG00000304860.1	371957
chr1	1352229	1352541			inside intron	inside	3391	inside intron	-3214	1	2	inside transcription region	+	13508		ENSG00000304860.1	371957
chr1	1354969	1355655			inside intron	inside	6131	inside intron	-5954	1	2	inside transcription region	+	13508		ENSG00000304860.1	371957
chr1	1419576	1419989			inside intron	inside	1271	inside intron	-26	2	2	inside transcription region	-	2122		ENSG00000235098.9	218778
chr1	1426820	1427329			inside intron	inside	949	inside intron	224	2	2	inside transcription region	+	4384		ENSG00000205116.4	169986
chr1	1505675	1505773			overlaps exon downstream	inside	420	overlaps exon downstream	0	1	2	inside transcription region	+	4212		ENSG00000290916.2	326943
chr1	1510907	1511239			promoter	promoter	923				16		+	22523		ENSG00000197785.14	161284
chr1	1633911	1634110			covers exon(s)	inside	232	covers exon(s)	0	1	4	inside transcription region	+	925		ENSG00000189409.14	156681
chr1	1659790	1659843			inside intron	inside	486	inside intron	-337	1	3	inside transcription region	+	3298		ENSG00000272004.2	289538
chr1	1718985	1719405			overlaps exon downstream	inside	18283	overlaps exon downstream	0	5	20	inside transcription region	-	34952		ENSG00000268575.1	285905
chr1	1723274	1723483			inside intron	inside	14205	inside intron	-442	3	20	inside transcription region	-	34952		ENSG00000268575.1	285905
chr1	1726018	1726511			inside intron	inside	1403	inside intron	-1254	1	2	inside transcription region	+	7289		ENSG00000293188.2	338304
chr1	1747222	1747531			promoter	promoter	1230				6		-	13750		ENSG00000290854.2	326121
chr1	1944331	1944541			overlaps exon upstream	inside	59245	overlaps exon upstream	0	21	39	inside transcription region	-	81829		ENSG00000142609.20	88203
chr1	1982860	1983353			inside intron	inside	20361	inside intron	2032	6	19	inside transcription region	-	48566		ENSG00000142609.20	88207
chr1	2091983	2092414			inside intron	inside	9735	inside intron	-9522	1	6	inside transcription region	+	68688		ENSG00000067606.17	12303
chr1	2104305	2104607			overlaps exon upstream	inside	310	overlaps exon upstream	0	2	2	inside transcription region	-	1566		ENSG00000308181.1	380550
chr1	2124263	2124598			inside intron	inside	8058	inside intron	-7952	1	6	5' UTR	+	34692		ENSG00000067606.17	12307
chr1	2132246	2132721			inside intron	inside	16041	inside intron	2540	2	6	5' UTR	+	34692		ENSG00000067606.17	12307
chr1	2189127	2190617			covers exon(s)	inside	4134	covers exon(s)	0	3	4	inside transcription region	-	9576		ENSG00000162585.17	111473
chr1	2214084	2214258			inside intron	inside	1561	inside intron	-1439	1	2	inside transcription region	+	8215		ENSG00000234396.3	216357
chr1	2607532	2607918			inside intron	inside	3483	inside intron	-462	4	5	inside transcription region	-	5120		ENSG00000142606.16	88199
chr1	2750798	2751865			inside intron	inside	37800	inside intron	31743	4	7	inside transcription region	-	148297		ENSG00000215912.13	178396
chr1	2947180	2947763			downstream	downstream	20887				4		-	8295		ENSG00000284745.2	303942
chr1	3162138	3162716			inside intron	inside	4436	inside intron	-257	2	3	inside transcription region	-	5876		ENSG00000306427.1	376035
chr1	3238495	3238646			inside intron	inside	564	inside intron	-399	1	16	inside transcription region	+	195994		ENSG00000142611.17	88216
chr1	3240916	3241198			inside intron	inside	2985	inside intron	-2820	1	16	inside transcription region	+	195994		ENSG00000142611.17	88216
chr1	3576193	3576672			inside intron	inside	34605	inside intron	18665	3	37	inside transcription region	-	120715		ENSG00000162591.17	111488
chr1	3599487	3599712			inside intron	inside	11565	inside intron	2753	2	37	inside transcription region	-	120715		ENSG00000162591.17	111488
chr1	3712713	3714102			covers exon(s)	inside	196	covers exon(s)	0	1	2	inside transcription region	-	2098		ENSG00000235131.1	218949
chr1	3797074	3797344			promoter	promoter	576				7		-	17939		ENSG00000130764.10	68269
chr1	3834820	3835069			overlaps exon downstream	inside	22129	overlaps exon downstream	0	11	12	inside transcription region	-	23527		ENSG00000116198.14	51716
chr1	3858324	3858804			overlaps exon upstream	inside	724	overlaps exon upstream	0	2	7	inside transcription region	+	27829		ENSG00000169598.17	127487
chr1	3892671	3893089			covers exon(s)	inside	7164	covers exon(s)	0	2	3	inside transcription region	-	9434		ENSG00000198912.12	164403
chr1	4027548	4027917			inside intron	inside	8150	inside intron	1089	2	3	inside transcription region	+	73661		ENSG00000284668.3	303710
chr1	4067030	4067986			inside intron	inside	47632	inside intron	24806	3	3	inside transcription region	+	73661		ENSG00000284668.3	303710
chr1	4600094	4600526			upstream	upstream	3164				2		+	5093		ENSG00000300565.1	359597
chr1	5242654	5243170			upstream	upstream	17396				2		-	4712		ENSG00000302269.1	363847
chr1	5246943	5247872			upstream	upstream	21685				2		-	4712		ENSG00000302269.1	363847
chr1	5288766	5291842			downstream	downstream	3350				3		-	2707		ENSG00000306645.1	376693
chr1	6150249	6150954			inside intron	inside	29069	inside intron	77	7	34	inside transcription region	-	74932		ENSG00000116254.18	51775
chr1	6363248	6363486			inside intron	inside	29875	inside intron	-13381	2	10	inside transcription region	-	129088		ENSG00000097021.21	25253
chr1	6455896	6456241			inside intron	inside	4179	inside intron	942	2	4	inside transcription region	+	8688		ENSG00000187017.18	153303
chr1	6738832	6739437			downstream	downstream	14206				3		+	5386		ENSG00000228750.8	198966
chr1	7199543	7201067			inside intron	inside	414012	inside intron	48423	5	21	inside transcription region	+	982309		ENSG00000171735.21	130955
chr1	7706144	7706487			inside intron	inside	1257	inside intron	-1245	1	14	5' UTR	+	62798		ENSG00000171735.21	130973
chr1	7784874	7785043			overlaps exon downstream	inside	171	overlaps exon downstream	0	1	21	overlaps 5' UTR	+	60474		ENSG00000049246.15	7974
chr1	7827027	7827241			overlaps exon downstream	inside	101	overlaps exon downstream	0	1	3	inside transcription region	-	17100		ENSG00000236266.2	222354
chr1	8137897	8138058			inside intron	inside	15234	inside intron	-15198	1	2	inside transcription region	+	32483		ENSG00000238290.2	228635
chr1	9039370	9039907			overlaps exon downstream	inside	29728	overlaps exon downstream	0	7	12	inside transcription region	-	34529		ENSG00000142583.18	88160
chr1	9248084	9248567			inside intron	inside	8240	inside intron	-1000	3	5	inside transcription region	+	28054		ENSG00000049239.13	7965
chr1	9536906	9537277			promoter	promoter	2188				7		+	45708		ENSG00000171612.7	130740
chr1	10808714	10809518			upstream	upstream	12064				16		-	149437		ENSG00000130940.15	68621
chr1	11011769	11011964			promoter	promoter	380				5		+	8145		ENSG00000120948.19	56866
chr1	11454021	11454559			overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	2	inside transcription region	-	12119		ENSG00000299102.1	355638
chr1	11476972	11478185			promoter	promoter	970				21		+	58396		ENSG00000204624.8	168981
chr1	11896737	11897151			upstream	upstream	10789				2		+	5383		ENSG00000285646.3	305454
chr1	13701035	13701163			inside intron	inside	795	inside intron	-734	1	8	5' UTR	+	124825		ENSG00000116731.23	52297
chr1	13750927	13752102			inside intron	inside	1491	inside intron	-1439	1	4	5' UTR	+	73983		ENSG00000116731.23	52307
chr1	14125827	14126407			inside intron	inside	233035	inside intron	54027	2	17	inside transcription region	+	1225251		ENSG00000189337.17	156610
chr1	14134517	14135565			inside intron	inside	241725	inside intron	44869	2	17	inside transcription region	+	1225251		ENSG00000189337.17	156610
chr1	14599937	14601457			inside intron	inside	1220	inside intron	-713	2	9	inside transcription region	+	467080		ENSG00000189337.17	156613
chr1	14731265	14732446			inside intron	inside	132548	inside intron	-132041	2	9	inside transcription region	+	467080		ENSG00000189337.17	156613
chr1	15196284	15196611			inside intron	inside	42516	inside intron	13878	2	4	5' UTR	+	66625		ENSG00000171729.14	130942
chr1	15253711	15254827			inside intron	inside	1926	inside intron	-1833	1	30	inside transcription region	+	145744		ENSG00000142621.21	88229
chr1	15833188	15833485			inside intron	inside	1377	inside intron	1250	1	2	inside transcription region	-	15761		ENSG00000179743.5	142800
chr1	16064132	16064916			inside intron	inside	8716	inside intron	-1597	2	6	inside transcription region	-	15353		ENSG00000185519.9	150747
chr1	16106279	16108428			downstream	downstream	47641				17		-	31732		ENSG00000142627.13	88253
chr1	16207487	16207662			covers exon(s)	inside	4990	covers exon(s)	0	4	16	inside transcription region	-	14798		ENSG00000142632.17	88258
chr1	16484034	16484461			overlaps exon downstream	inside	14796	overlaps exon downstream	0	7	13	inside transcription region	-	25349		ENSG00000290842.2	326030
chr1	16520424	16520739			inside intron	inside	14500	inside intron	-5282	2	2	inside transcription region	-	20262		ENSG00000233421.6	213327
chr1	16521273	16521459			inside intron	inside	13780	inside intron	-6131	2	2	inside transcription region	-	20262		ENSG00000233421.6	213327
chr1	16677941	16679765			covers exon(s)	inside	845	covers exon(s)	0	2	4	inside transcription region	-	45575		ENSG00000291072.2	330179
chr1	16680528	16680679			overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	3	inside transcription region	-	45587		ENSG00000291072.2	330177
chr1	16692112	16692686			inside intron	inside	4605	inside intron	-817	4	4	inside transcription region	-	6839		ENSG00000290849.2	326105
chr1	16696492	16696721			overlaps exon upstream	inside	570	overlaps exon upstream	0	3	4	inside transcription region	-	6839		ENSG00000290849.2	326105
chr1	16759018	16759197			overlaps exon upstream	inside	94	overlaps exon upstream	0	2	6	inside transcription region	-	2163		ENSG00000290851.2	326111
chr1	16861851	16861959			inside intron	inside	2191	inside intron	-1274	2	3	inside transcription region	+	48235		ENSG00000302843.1	365258
chr1	16888682	16889016			inside intron	inside	29022	inside intron	18627	3	3	inside transcription region	+	48235		ENSG00000302843.1	365258
chr1	16889666	16890019			inside intron	inside	30006	inside intron	17624	3	3	inside transcription region	+	48235		ENSG00000302843.1	365258
chr1	17118055	17118431			inside intron	inside	1004	inside intron	848	1	11	inside transcription region	-	40404		ENSG00000117115.13	52782
chr1	18575331	18576780			upstream	upstream	18634				1		+	222		ENSG00000225478.2	187183
chr1	18761423	18762619			downstream	downstream	130577				10		+	118020		ENSG00000009709.13	2972
chr1	18783847	18785106			downstream	downstream	153001				10		+	118020		ENSG00000009709.13	2972
chr1	18903477	18903668			close to 3'	close to 3'	1346				2		+	1240		ENSG00000310349.1	385960
chr1	19273960	19274490			overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	7	overlaps 5' UTR	-	7091		ENSG00000211454.16	173079
chr1	19439545	19439850			inside intron	inside	45689	inside intron	45585	1	5	inside transcription region	-	128884		ENSG00000077549.19	17107
chr1	19441126	19441778			inside intron	inside	43761	inside intron	43657	1	5	inside transcription region	-	128884		ENSG00000077549.19	17107
chr1	20481839	20483536			overlaps two exons	inside	560	overlaps two exons	0	1	2	inside transcription region	+	2303		ENSG00000296909.1	350301
chr1	20617625	20618910			overlaps 3'	overlaps 3'	28528	covers exon(s)	0	4	4	overlaps 3'UTR	+	29806		ENSG00000158825.6	106991
