chromA	startA	endA	chromB	startB	endB	overlap	lenA	lenB	pctA	pctB	reciprocal
1	533832	533990	1	533832	533990	158	158	158	100.0	100.0	100.0
1	1419594	1421560	1	1419644	1419906	262	1966	262	13.326551373346899	100.0	13.326551373346899
1	2099044	2099420	1	2099092	2099401	309	376	309	82.18085106382979	100.0	82.18085106382979
1	2132264	2132612	1	2132344	2132503	159	348	159	45.689655172413794	100.0	45.689655172413794
1	2189201	2190598	1	2189186	2190519	1318	1397	1333	94.34502505368647	98.87471867966991	94.34502505368647
1	2949159	2950279	1	2949413	2949577	164	1120	164	14.642857142857144	100.0	14.642857142857144
1	2967016	2967643	1	2967108	2967240	132	627	132	21.052631578947366	100.0	21.052631578947366
1	2983011	2983612	1	2983029	2983369	340	601	340	56.57237936772047	100.0	56.57237936772047
1	3031124	3031708	1	3031165	3031621	456	584	456	78.08219178082192	100.0	78.08219178082192
1	3360659	3361422	1	3360993	3361233	240	763	240	31.45478374836173	100.0	31.45478374836173
1	9536299	9537435	1	9536906	9537576	529	1136	670	46.566901408450704	78.95522388059702	46.566901408450704
1	15833243	15833455	1	15833305	15833485	150	212	180	70.75471698113208	83.33333333333334	70.75471698113208
1	16692189	16692603	1	16692189	16692568	379	414	379	91.54589371980676	100.0	91.54589371980676
1	17117475	17118636	1	17118055	17118533	478	1161	478	41.171403962101635	100.0	41.171403962101635
1	18575584	18576317	1	18576104	18576317	213	733	213	29.058663028649384	100.0	29.058663028649384
1	18784007	18785106	1	18784007	18784942	935	1099	935	85.07734303912648	100.0	85.07734303912648
1	21437255	21437893	1	21437342	21437779	437	638	437	68.49529780564264	100.0	68.49529780564264
1	22011488	22012964	1	22011556	22012964	1408	1476	1408	95.39295392953929	100.0	95.39295392953929
1	25281325	25283879	1	25283296	25283529	233	2554	233	9.122944400939701	100.0	9.122944400939701
1	25563506	25564273	1	25563647	25564105	458	767	458	59.71316818774446	100.0	59.71316818774446
1	26200416	26201583	1	26200776	26201118	342	1167	342	29.30591259640103	100.0	29.30591259640103
1	31154431	31154704	1	31154431	31154646	215	273	215	78.75457875457876	100.0	78.75457875457876
1	31586645	31588089	1	31586985	31587065	80	1444	80	5.540166204986149	100.0	5.540166204986149
1	36401108	36401547	1	36401072	36401380	272	439	308	61.958997722095674	88.31168831168831	61.958997722095674
1	37690925	37691411	1	37690964	37691146	182	486	182	37.4485596707819	100.0	37.4485596707819
1	41381734	41383708	1	41382519	41383382	863	1974	863	43.71833839918946	100.0	43.71833839918946
